Team,Group,"Previous 
appearances","Previous 
titles","Previous
 finals","Previous
 semifinals","Current 
FIFA rank","First match 
against",Match index,"history with 
first opponent
 W-L","history with
 first opponent
 goals","Second match
 against",Match index,"history with
 second opponent
 W-L","history with
 second opponent
 goals","Third match
 against",Match index,"history with
 third opponent
 W-L","history with
 third opponent
 goals"
Senegal,A,1,0,0,0,18,Netherlands,1,N/A,N/A,Qatar,17,N/A,N/A,Ecuador,33,N/A,N/A
Qatar,A,0,0,0,0,50,Ecuador,1,1,2,Senegal,18,N/A,N/A,Netherlands,34,N/A,N/A
Netherlands,A,3,1,1,3,8,Senegal,2,N/A,N/A,Ecuador,17,N/A,N/A,Qatar,34,N/A,N/A
Ecuador,A,3,0,3,0,44,Qatar,2,-1,-2,Netherlands,18,N/A,N/A,Senegal,33,N/A,N/A
Iran,B,4,0,0,0,20,England,3,N/A,N/A,Wales,19,N/A,N/A,USA,35,N/A,N/A
England,B,14,1,1,2,5,Iran,3,N/A,N/A,USA,20,1,3,Wales,36,1,5
USA,B,2,0,0,0,16,Wales,4,N/A,N/A,England,19,-1,-3,Iran,36,0,0
Wales,B,2,0,0,0,19,USA,4,N/A,N/A,Iran,20,N/A,N/A,England,35,-1,-5
Argentina,C,16,2,5,5,3,Saudi Arabia,5,1,3,Mexico,21,3,8,Poland,37,-1,-2
Saudi Arabia,C,4,0,0,0,51,Argentina,5,0,0,Poland,22,-1,-2,Mexico,38,-1,-5
Mexico,C,15,0,0,0,13,Poland,6,-1,-3,Argentina,21,-3,-8,Saudi Arabia,38,1,5
Poland,C,7,0,0,2,26,Mexico,6,1,3,Saudi Arabia,22,N/A,N/A,Argentina,37,1,2
Denmark,D,4,0,0,0,10,Tunisia,7,N/A,N/A,France,23,1,2,Australia,39,0,0
Tunisia,D,4,0,0,0,30,Denmark,7,N/A,N/A,Australia,24,1,2,France,40,N/A,N/A
France,D,14,2,3,6,4,Australia,8,1,2,Denmark,23,-1,-2,Tunisia,40,N/A,N/A
Australia,D,4,0,0,0,38,France,8,-1,-2,Tunisia,24,-1,-2,Denmark,39,0,0
Germany,E,18,4,8,13,11,Japan,9,N/A,N/A,Spain,25,-1,-1,Costa Rica,41,1,4
Japan,E,5,0,0,0,24,Germany,9,N/A,N/A,Costa Rica,26,N/A,N/A,Spain,42,N/A,N/A
Spain,E,14,1,1,2,7,Costa Rica,10,N/A,N/A,Gemany,25,1,1,Japan,42,N/A,N/A
Costa Rica,E,4,0,0,0,31,Spain,10,N/A,N/A,Japan,26,N/A,N/A,Germany,41,-1,-4
Morocco,F,4,0,0,0,22,Canada,11,N/A,N/A,Croatia,27,N/A,N/A,Belgium,43,-1,-1
Croatia,F,4,0,0,1,12,Morocco,11,N/A,N/A,Canada,28,N/A,N/A,Belgium,44,-1,-1
Belgium,F,12,0,0,1,2,Canada,12,N/A,N/A,Morocco,27,1,1,Croatia,44,1,2
Canada,F,2,0,0,0,41,Belgium,12,-1,-2,Croatia,28,N/A,N/A,Morocco,43,,
Switzerland,G,10,0,0,0,15,Cameroon,13,N/A,N/A,Brazil,29,0,0,Serbia,45,1,2
Cameroon,G,7,0,0,0,43,Switzerland,13,N/A,N/A,Serbia,30,N/A,N/A,Brazil,46,-2,-7
Brazil,G,20,5,7,11,1,Serbia,14,1,2,Switzerland,29,0,0,Cameroon,46,2,7
Serbia,G,11,0,0,2,21,Brazil,14,-1,-2,Cameroon,30,1,4,Switzerland,45,-1,-2
Uruguay,H,12,2,2,5,14,South Korea,15,2,3,Portugal,31,1,2,Ghana,47,1,1
South Korea,H,9,0,0,1,28,Uruguay,15,-2,-3,Ghana,32,N/A,N/A,Portugal,48,1,1
Portugal,H,6,0,0,2,9,Ghana,16,1,2,Uruguay,31,-1,-2,South Korea,48,-1,-1
Ghana,H,3,0,0,0,61,Portugal,16,-1,-2,South Korea,32,1,3,Uruguay,47,-1,-1
